"1","X1","X2","X3"
1.03681832943986e-12,5.30330362453494e-13,7.6484231462573e-13,-3.72317663810235e-13
3.07373161837738e-09,1.57220716201988e-09,2.26743677150087e-09,-1.10376576381726e-09
2.35893992426847e-14,1.20659273618279e-14,1.74014773901158e-14,-8.47086685038462e-15
8.38560851332798e-12,4.28922085575868e-12,6.1859132335594e-12,-3.01124129720604e-12
9.74700397471538e-15,4.98557172840401e-15,7.19019028600217e-15,-3.50011342003922e-15
4.6447571250776e-12,2.3757833553942e-12,3.42635415438491e-12,-1.66791526796126e-12
5.57046012656658e-12,2.84927846477288e-12,4.10922868139807e-12,-2.00033182456545e-12
3.36851751727602e-11,1.72298952009562e-11,2.48489505018935e-11,-1.20962230018987e-11
2.33613056155319e-14,1.19492579583977e-14,1.72332168059909e-14,-8.38895926447476e-15
5.43240598183547e-19,2.778664064415e-19,4.00738861105821e-19,-1.95075708694157e-19
4.32225516480179e-13,2.21082429108307e-13,3.18845023354861e-13,-1.55210599548343e-13
8.76275204413332e-11,4.48212896676501e-11,6.46412526247204e-11,-3.1466721574865e-11
6.40593505184541e-10,3.27662210575895e-10,4.72554357236575e-10,-2.30034780954508e-10
1.09365722276445e-09,5.59403335068253e-10,8.0677134837905e-10,-3.92728302178872e-10
5.80320162018652e-11,2.96832524198033e-11,4.28091791338329e-11,-2.08390844229663e-11
6.48430808824426e-13,3.31670974659227e-13,4.78335795783859e-13,-2.32849127980327e-13
3.89264035784608e-08,1.99107723432406e-08,2.87153108385823e-08,-1.39783289216122e-08
5.74994244832751e-07,2.94108328925441e-07,4.24162957605065e-07,-2.06478326879229e-07
4.46071406505319e-11,2.28164572302565e-11,3.29058888478757e-11,-1.60182607933186e-11
1.15417846553398e-12,5.90359821564245e-13,8.51416785375599e-13,-4.14461258743227e-13
2.91154216266408e-15,1.48924760161065e-15,2.14779251445667e-15,-1.04552412443724e-15
6.09172345875939e-10,3.11590354656987e-10,4.49375530694419e-10,-2.18751557755408e-10
1.19357927388998e-12,6.10513250938592e-13,8.80482056123083e-13,-4.28609944682512e-13
9.64175616165407e-15,4.93173769667118e-15,7.11255085905011e-15,-3.46231931593489e-15
4.44744009437315e-15,2.27485611535566e-15,3.28079691432281e-15,-1.59705944508867e-15
2.12298915359418e-12,1.08590442061214e-12,1.56609108081405e-12,-7.62357627673963e-13
1.15162574697186e-16,5.89054111468413e-17,8.49533690605565e-17,-4.13544586859225e-17
9.03178536667501e-16,4.61973893700221e-16,6.66258632675068e-16,-3.2432810380316e-16
3.78354135206846e-08,1.93527332573708e-08,2.79105070100524e-08,-1.35865583886097e-08
4.17116898903474e-10,2.13354403466675e-10,3.07699666728687e-10,-1.49785150325623e-10
2.51729628438154e-12,1.28759167637413e-12,1.85696439007331e-12,-9.03951873830643e-13
6.45294120419838e-14,3.30066565235439e-14,4.7602191691858e-14,-2.31722754665218e-14
4.07160864698714e-09,2.08261913221772e-09,3.00355278585226e-09,-1.46209974915739e-09
3.11831247063881e-15,1.59501017279522e-15,2.30032326787487e-15,-1.11977458454635e-15
2.59336579764612e-10,1.32650107004106e-10,1.91307950778074e-10,-9.31268157370064e-11
9.34111954145464e-17,4.77796270713826e-17,6.89077660803083e-17,-3.35436180697676e-17
1.53008046231148e-11,7.82632890565349e-12,1.12871295686888e-11,-5.49446288702534e-12
2.35239275337664e-13,1.20324387224635e-13,1.73531800828927e-13,-8.44735619956186e-14
1.051723802261e-14,5.37954479986261e-15,7.75837815003575e-15,-3.77670164495435e-15
1.41225897395443e-08,7.22367450756854e-09,1.0417981548164e-08,-5.0713702386205e-09
4.63435117999242e-08,2.37046073669428e-08,3.41867787504182e-08,-1.66417853120243e-08
3.9802442251479e-12,2.03588642546133e-12,2.9361548879855e-12,-1.42929111998034e-12
1.72782703973812e-12,8.8377984283544e-13,1.27458706585576e-12,-6.20456360229466e-13
9.02000420144914e-19,4.6137128961357e-19,6.65389557213679e-19,-3.23905046475824e-19
6.07316912374135e-13,3.10641304381177e-13,4.48006810626631e-13,-2.18085278382126e-13
2.72949456409041e-11,1.39613064351489e-11,2.01349926103746e-11,-9.80151498704596e-12
3.7767300266606e-15,1.93178934732951e-15,2.78602610822683e-15,-1.35620991685969e-15
5.46093153773463e-17,2.79325482537054e-17,4.02843140281873e-17,-1.96100050956412e-17
8.99671192073807e-15,4.6017989442686e-15,6.63671327376675e-15,-3.23068629208409e-15
1.05750568143104e-13,5.40911898840504e-14,7.80103003727321e-14,-3.79746416123997e-14
8.92217882690113e-10,4.56367542585947e-10,6.5817315451574e-10,-3.2039217311326e-10
1.45272403669714e-11,7.43065243978388e-12,1.07164850696664e-11,-5.21667879652802e-12
7.83161500997113e-13,4.00585436127276e-13,5.77724214686673e-13,-2.81230425965646e-13
5.1572073725156e-14,2.63790056315036e-14,3.80437952512923e-14,-1.8519342745004e-14
6.77481871551148e-12,3.46530531235396e-12,4.99766244520473e-12,-2.43281258179512e-12
5.51033515475192e-17,2.81852467002447e-17,4.06487556638864e-17,-1.97874116744928e-17
5.9828288407007e-07,3.06020418186487e-07,4.41342569725134e-07,-2.14841191913495e-07
1.33457372598007e-10,6.82631612234604e-11,9.84491138547613e-11,-4.79240535907446e-11
4.52873395942183e-14,2.31643775380895e-14,3.34076594278539e-14,-1.62625177421481e-14
3.56092023290479e-08,1.8214030984624e-08,2.62682708802407e-08,-1.27871341052194e-08
4.13341471053589e-16,2.11423280179987e-16,3.04914601212948e-16,-1.48429408015673e-16
1.99795141627356e-10,1.02194788486162e-10,1.47385298112736e-10,-7.17457034266744e-11
4.24252985611409e-14,2.17004496586039e-14,3.12963830102434e-14,-1.52347692920025e-14
1.08332476702379e-12,5.54118306011192e-13,7.99149280809383e-13,-3.89017955174429e-13
1.74305538087027e-21,8.91569106820135e-22,1.28582074040482e-21,-6.25924801742348e-22
4.59505739948551e-09,2.3503620518363e-09,3.38969155682199e-09,-1.65006827857166e-09
1.59839587836375e-10,8.17576080059054e-11,1.17910801592061e-10,-5.73978104339463e-11
1.44148430467323e-16,7.37316145038999e-17,1.06335715793003e-16,-5.17631733058772e-17
1.19887886094166e-11,6.13223978403731e-12,8.84391466587844e-12,-4.30513006978206e-12
1.27283276228166e-12,6.51051241086946e-13,9.38945935264192e-13,-4.57069582025869e-13
3.0552138007738e-09,1.56273533784133e-09,2.25377650906571e-09,-1.09711608335419e-09
5.44591203277387e-13,2.78557238064176e-13,4.01735178297354e-13,-1.95560706035533e-13
4.22847238392212e-12,2.16285459883941e-12,3.11926835552491e-12,-1.51842894243441e-12
4.5919495608517e-13,2.34877239900869e-13,3.38739895991599e-13,-1.64895226510355e-13
3.2448179784807e-10,1.65971747003446e-10,2.39364411559075e-10,-1.16520224897071e-10
1.12611216873418e-11,5.7600397065774e-12,8.30712780828403e-12,-4.04382754380794e-12
1.92483714336191e-16,9.84550090327349e-17,1.41991789130681e-16,-6.91201966711796e-17
3.62222897464976e-14,1.85276238900344e-14,2.67205344891252e-14,-1.30072915508344e-14
1.83688201932516e-17,9.39561232119904e-18,1.35503497137637e-17,-6.59617603885965e-18
5.82177661118162e-16,2.97782631022661e-16,4.29462035160554e-16,-2.09057865351514e-16
3.42439226507084e-16,1.75156933432984e-16,2.52611285105097e-16,-1.22968671743083e-16
2.93018860429941e-15,1.49878521670689e-15,2.16154766053669e-15,-1.0522199933189e-15
1.48049985302237e-16,7.5727251474217e-17,1.09213822926957e-16,-5.31642073540964e-17
1.45032074774438e-14,7.41835966808793e-15,1.0698756437435e-14,-5.208048673941e-15
2.79695134700601e-10,1.43063464399191e-10,2.06326092180039e-10,-1.00437498232767e-10
3.71522075858571e-13,1.90032748799874e-13,2.74065182265575e-13,-1.33412216402773e-13
6.18979229397101e-16,3.16606554645588e-16,4.56609893049531e-16,-2.22273173701213e-16
3.89495450514535e-10,1.99226091572816e-10,2.87323818887991e-10,-1.39866389397872e-10
6.37068677496495e-13,3.2585926873709e-13,4.6995415497256e-13,-2.28769028244624e-13
2.65128729486631e-14,1.35612779223763e-14,1.95580715904092e-14,-9.52067554831587e-15
3.13639704739278e-12,1.60426039520394e-12,2.31366393629361e-12,-1.12626868980747e-12
3.84714740325463e-12,1.96780768515376e-12,2.837971745929e-12,-1.38149653882682e-12
4.4837218390062e-13,2.29341415029326e-13,3.30756130761705e-13,-1.61008808667145e-13
3.1914521082246e-10,1.63242094130618e-10,2.3542770687613e-10,-1.14603876046286e-10
9.87515434908572e-16,5.05112037136163e-16,7.28472452230036e-16,-3.54613175000812e-16
1.25274097262277e-09,6.40774333561695e-10,9.24124581829998e-10,-4.49854693963843e-10
8.39230294222227e-11,4.29264504184907e-11,6.19085159387309e-11,-3.01364524209754e-11
3.71054822516809e-12,1.897937497129e-12,2.73720497842777e-12,-1.33244427439487e-12
1.32642628683662e-12,6.7846421450317e-13,9.78480918593149e-13,-4.76314820358448e-13
1.16966961941687e-15,5.98283513709977e-16,8.62844332184509e-16,-4.20024075352109e-16
8.49380469104611e-12,4.34456296972028e-12,6.26572761632045e-12,-3.05009414825756e-12
3.14041842478274e-20,1.60631732115541e-20,2.31663043438068e-20,-1.12771275169624e-20
5.08544434706911e-08,2.60119392881032e-08,3.75144122636604e-08,-1.82616443496002e-08
7.19515647187263e-13,3.68030717753542e-13,5.30773808080189e-13,-2.58375433023447e-13
9.65323048005878e-11,4.93760678604363e-11,7.12101525825893e-11,-3.46643970163888e-11
1.20563782396379e-10,6.16681173562761e-11,8.89377432571976e-11,-4.32940125838591e-11
5.69393483707396e-17,2.91243551564465e-17,4.20031376419481e-17,-2.04467114077004e-17
8.67026369345869e-16,4.43482137280832e-16,6.39589826243037e-16,-3.11345992958208e-16
1.29000098752398e-10,6.59832751653371e-11,9.51610627582509e-11,-4.6323462881612e-11
4.83930847334634e-14,2.47529595477014e-14,3.56987120004113e-14,-1.73777794440303e-14
3.57038004793069e-17,1.82624177365648e-17,2.63380542416541e-17,-1.28211039544255e-17
1.78319627671079e-15,9.12101089363127e-16,1.3154319604364e-15,-6.40339250386083e-16
1.03545092194591e-10,5.29630936439023e-11,7.63833602604523e-11,-3.71826632788532e-11
1.05758953101926e-12,5.40954787725902e-13,7.80164858066997e-13,-3.7977652620395e-13
3.58927407786466e-19,1.83590602963902e-19,2.64774321169962e-19,-1.28889517237525e-19
3.56921967770490e-09,1.82564824676276e-09,2.63294943982937e-09,-1.28169371074538e-09
3.39689527492985e-13,1.73750468256416e-13,2.50582881383102e-13,-1.21981264900397e-13
1.69319471508677e-13,8.66065482697846e-14,1.24903942014476e-13,-6.08020019319604e-14
1.67253527193701e-11,8.55498221623651e-12,1.2337993188957e-11,-6.00601288968553e-12
1.34247712877148e-13,6.86674185892854e-14,9.90321337255295e-14,-4.82078618896428e-14
1.27885233763879e-10,6.54130241033526e-11,9.43386468208562e-11,-4.59231189484433e-11
6.02208242252255e-14,3.08028230518126e-14,4.44238236162107e-14,-2.16250773656517e-14
8.82039739709705e-12,4.51161444176383e-12,6.50664920705934e-12,-3.16737239255716e-12
4.16546013345441e-12,2.13062396722278e-12,3.07278534675757e-12,-1.49580147413122e-12
2.15328462650126e-10,1.10140049033941e-10,1.58843950865623e-10,-7.73236621010127e-11
